N,t,Q,V,E,T
328,30320.0014401227,2.10612234776118,3.7700632,192.2,25.854452
328,30330.0014405977,2.10681696794022,3.7701025,192.2,25.665316
328,30340.0014410727,2.10751158897279,3.7702205,192.2,25.870213
328,30350.0014415476,2.10820621242396,3.7703388,192.2,25.783525
328,30360.0014420226,2.10890083146483,3.7704964,192.2,25.964781
328,30370.0014424976,2.10959544646736,3.770575,192.2,25.854452
328,30380.0014429726,2.11029005879958,3.7707326,192.2,25.70472
328,30390.0014434475,2.11098467814679,3.7708113,192.2,25.736242
328,30400.0014439225,2.11167930367737,3.7710083,192.2,25.657434
328,30410.0014443975,2.11237393568674,3.7710083,192.2,25.933258
328,30420.0014448725,2.11306855890818,3.7712448,192.3,25.736242
328,30430.0014453474,2.11376318341002,3.7713628,192.3,25.901737
328,30440.0014458224,2.11445780637967,3.7714417,192.3,25.807169
328,30450.0014462974,2.11515241748616,3.7714021,192.3,26.114513
328,30460.0014467724,2.11584703728213,3.7716386,192.3,25.736242
328,30470.0014472473,2.11654166978402,3.771678,192.3,25.69684
328,30480.0014477223,2.117236299725,3.7717962,192.3,25.972664
328,30490.0014481973,2.11793092745527,3.7719536,192.3,25.830811
328,30500.0014486723,2.11862555136613,3.7719932,192.3,25.909616
328,30510.0014491472,2.11932017695143,3.7720718,192.3,25.759884
328,30520.0014496222,2.12001480770227,3.7723475,192.3,26.098751
328,30530.0014500972,2.12070943630809,3.7723475,192.3,25.870213
328,30540.0014505722,2.1214040621123,3.772505,192.3,25.752005
328,30550.0014510471,2.12209868764285,3.772584,192.3,25.744123
328,30560.0014515221,2.12279331733207,3.772702,192.3,25.681078
328,30570.0014519971,2.1234879398202,3.7728989,192.3,25.767763
328,30580.0014524721,2.12418257298962,3.7728596,192.3,25.885975
328,30590.001452947,2.12487720316041,3.7730172,192.3,25.830811
328,30600.001453422,2.12557183063899,3.7731352,192.3,25.846573
328,30610.001453897,2.12626646001083,3.7733321,192.3,25.775646
328,30620.001454372,2.12696108867141,3.773411,192.3,25.846573
328,30630.0014548469,2.12765571703646,3.7734504,192.3,25.996304
328,30640.0014553219,2.12835034437279,3.773608,192.4,25.649555
328,30650.0014557969,2.12904496791161,3.7738442,192.4,25.712599
328,30660.0014562719,2.12973959652836,3.7738442,192.4,25.878096
328,30670.0014567468,2.1304342266335,3.7738836,192.4,25.775646
328,30680.0014572218,2.13112885227347,3.7740412,192.4,25.767763
328,30690.0014576968,2.13182347521034,3.7742381,192.4,25.767763
328,30700.0014581718,2.13251809812533,3.7743564,192.4,25.822931
328,30710.0014586467,2.13321272566957,3.7743564,192.5,25.846573
328,30720.0014591217,2.13390735337798,3.7745533,192.4,25.665316
328,30730.0014595967,2.13460197801116,3.7745926,192.5,25.775646
328,30740.0014600717,2.13529659770868,3.7747896,192.5,25.807169
328,30750.0014605466,2.13599122072217,3.7748682,192.4,25.822931
328,30760.0014610216,2.13668584710634,3.7749076,192.5,25.744123
328,30770.0014614966,2.13738047708009,3.7751441,192.5,25.70472
328,30780.0014619715,2.13807510195405,3.7752228,192.5,25.673199
328,30790.0014624465,2.13876972494566,3.7753804,192.5,25.815048
328,30800.0014629215,2.13946434852822,3.7754986,192.5,25.759884
328,30810.0014633965,2.14015897158543,3.7755773,192.5,25.878096
328,30820.0014638714,2.14085359943606,3.7756166,192.5,25.69684
328,30830.0014643464,2.14154821859728,3.7758136,192.5,25.547108
328,30840.0014648214,2.14224284224551,3.7758925,192.5,25.83869
328,30850.0014652964,2.14293746270905,3.7760499,192.5,25.807169
328,30860.0014657713,2.14363208346811,3.7760894,192.5,25.767763
328,30870.0014662463,2.14432670678797,3.776365,192.5,25.956902
328,30880.0014667213,2.14502132685755,3.7764044,192.5,25.70472
328,30890.0014671963,2.14571595003517,3.7765226,192.5,25.752005
328,30900.0014676712,2.14641057003909,3.776562,192.5,25.83869
328,30910.0014681462,2.14710519108265,3.7766802,192.5,25.854452
328,30920.0014686212,2.14779980665426,3.7767196,192.5,25.720482
328,30930.0014690962,2.14849442889065,3.7769165,192.5,25.830811
328,30940.0014695711,2.14918904486716,3.7771134,192.5,25.815048
328,30950.0014700461,2.14988366389705,3.7771921,192.5,25.885975
328,30960.0014705211,2.15057828497347,3.7772315,192.5,25.791407
328,30970.0014709961,2.15127290456146,3.7773104,192.5,25.83869
328,30980.001471471,2.15196752874593,3.7775073,192.5,25.799288
328,30990.001471946,2.15266215158424,3.7776253,192.5,25.791407
328,31000.001472421,2.15335677127072,3.7776649,192.5,25.878096
328,31010.001472896,2.15405139374792,3.7778618,192.5,25.633793
328,31020.0014733709,2.15474601912533,3.7779405,192.5,25.70472
328,31030.0014738459,2.15544063409497,3.7780981,192.5,26.043587
328,31040.0014743209,2.15613524724794,3.7782161,192.5,25.870213
328,31050.0014747959,2.15682987161848,3.7782161,192.5,25.83869
328,31060.0014752708,2.15752449590145,3.7784526,192.6,25.759884
328,31070.0014757458,2.15821911964813,3.7785707,192.6,25.996304
328,31080.0014762208,2.15891374868075,3.77861,192.6,25.854452
328,31090.0014766958,2.15960837565593,3.7788465,192.6,25.744123
328,31100.0014771707,2.16030300398811,3.7789252,192.6,25.665316
328,31110.0014776457,2.16099762884018,3.7790039,192.6,25.885975
328,31120.0014781207,2.16169225730371,3.7791615,192.6,25.822931
328,31130.0014785957,2.16238688225424,3.7792404,192.7,25.933258
328,31140.0014790706,2.16308150572737,3.779319,192.7,25.870213
328,31150.0014795456,2.16377613110473,3.7794766,192.7,25.996304
328,31160.0014800206,2.16447075731381,3.7796736,192.7,25.878096
328,31170.0014804956,2.16516538853527,3.7797523,192.7,25.917496
328,31180.0014809705,2.16586001957065,3.7798312,192.7,25.783525
328,31190.0014814455,2.16655465135018,3.7799098,192.7,25.933258
328,31200.0014819205,2.16724928273576,3.7799888,192.7,25.901737
328,31210.0014823955,2.16794391483271,3.780225,192.7,25.854452
328,31220.0014828704,2.16863854392005,3.7802644,192.7,25.70472
328,31230.0014833454,2.16933317633433,3.7804613,192.7,25.783525
328,31240.0014838204,2.17002780842029,3.7805007,192.7,26.059349
328,31250.0014842954,2.17072243867862,3.7806582,192.7,25.917496
328,31260.0014847703,2.1714170717714,3.7808158,192.7,25.909616
328,31270.0014852453,2.17211170049754,3.7807765,192.7,25.649555
328,31280.0014857203,2.17280632056711,3.7810521,192.7,25.901737
328,31290.0014861952,2.17350094527687,3.7810915,192.7,25.799288
328,31300.0014866702,2.17419556736011,3.781249,192.7,25.980543
328,31310.0014871452,2.17489019101925,3.7813277,192.7,25.933258
328,31320.0014876202,2.17558481483165,3.7814853,192.7,25.933258
328,31330.0014880951,2.17627942745931,3.7816036,192.8,26.027828
328,31340.0014885701,2.17697403633326,3.7817612,192.8,25.996304
328,31350.0014890451,2.17766865786927,3.7818398,192.7,25.752005
328,31360.0014895201,2.17836328109069,3.7818792,192.8,25.752005
328,31370.001489995,2.17905791510285,3.7820368,192.8,25.862331
328,31380.00149047,2.17975255629414,3.7821944,192.8,25.893854
328,31390.001490945,2.1804471931407,3.7823124,192.8,25.728361
328,31400.00149142,2.18114182571916,3.782352,192.8,25.830811
328,31410.0014918949,2.18183646489676,3.7825093,192.8,25.83869
328,31420.0014923699,2.18253110269542,3.7826276,192.8,25.925379
328,31430.0014928449,2.18322573475948,3.7826669,192.8,26.05147
328,31440.0014933199,2.18392036696588,3.7828245,192.8,25.909616
328,31450.0014937948,2.18461500574955,3.7829821,192.8,25.94902
328,31460.0014942698,2.18530964141417,3.7831004,192.8,25.736242
328,31470.0014947448,2.18600427287639,3.7831397,192.8,26.004185
328,31480.0014952198,2.18669891043431,3.783376,192.8,25.996304
328,31490.0014956947,2.18739354169952,3.7834942,192.9,26.019945
328,31500.0014961697,2.18808817284428,3.7836912,192.9,26.019945
328,31510.0014966447,2.18878279800274,3.7836912,192.9,25.893854
328,31520.0014971197,2.18947742791091,3.7839274,192.9,25.815048
328,31530.0014975946,2.19017205557557,3.7838881,192.9,25.956902
328,31540.0014980696,2.19086668278053,3.784085,192.9,25.791407
328,31550.0014985446,2.19156131428649,3.7841637,192.9,25.980543
328,31560.0014990196,2.19225594468708,3.7844,192.9,25.854452
328,31570.0014994945,2.19295058034081,3.7844393,192.9,25.846573
328,31580.0014999695,2.19364520622165,3.7844789,192.9,25.988422
328,31590.0015004445,2.19433983547315,3.7847152,192.9,26.18544
328,31600.0015009195,2.19503447049211,3.7848332,192.9,25.925379
328,31610.0015013944,2.19572910416495,3.7849514,192.9,25.870213
328,31620.0015018694,2.19642373216883,3.7850301,192.9,25.972664
328,31630.0015023444,2.19711835982258,3.7851877,192.9,25.870213
328,31640.0015028194,2.19781298948992,3.7852666,193,25.925379
328,31650.0015032943,2.19850761743912,3.7853847,193,25.972664
328,31660.0015037693,2.19920225158258,3.7854636,193,25.941139
328,31670.0015042443,2.19989688249755,3.7856998,193,25.870213
328,31680.0015047193,2.20059150929762,3.7856209,193,25.917496
328,31690.0015051942,2.20128614361617,3.7858574,193,25.901737
328,31700.0015056692,2.20198077715767,3.7860148,193,25.862331
328,31710.0015061442,2.20267540750353,3.7860937,193,25.909616
328,31720.0015066192,2.2033700423255,3.7862117,193,26.004185
