N,t,Q,I,V,E,T
380,29160.0013850257,2.02677119442111,250.20528,3.8460226,337.1,27.347937
380,29170.0013855007,2.02746626182828,250.18555,3.8462195,337.1,27.3717
380,29180.0013859756,2.02816132747284,250.28407,3.8464165,337.1,27.292486
380,29190.0013864506,2.02885639505542,250.24467,3.8466134,337.1,27.363779
380,29200.0013869256,2.02955146291161,250.26437,3.8466527,337.1,27.260799
380,29210.0013874005,2.0302465289063,250.26437,3.846889,337.1,27.205353
380,29220.0013878755,2.03094159786753,250.18555,3.8470466,337.1,27.252882
380,29230.0013883505,2.03163666523047,250.20528,3.8472435,337.2,27.403387
380,29240.0013888255,2.03233172726238,250.24467,3.8473222,337.2,27.31625
380,29250.0013893004,2.03302679455886,250.22498,3.8475587,337.2,27.157824
380,29260.0013897754,2.03372185676627,250.28407,3.8477557,337.2,27.442993
380,29270.0013902504,2.03441691964093,250.16585,3.8479919,337.2,27.268723
380,29280.0013907254,2.03511198087401,250.14615,3.84811,337.2,27.427151
380,29290.0013912003,2.03580704073904,250.24467,3.8481889,337.2,27.118217
380,29300.0013916753,2.03650210327408,250.16585,3.8484645,337.2,27.221195
380,29310.0013921503,2.03719716062102,250.18555,3.8485827,337.3,27.363779
380,29320.0013926253,2.03789222091326,250.24467,3.8487008,337.3,27.435072
380,29330.0013931003,2.03858728746673,250.26437,3.8489373,337.3,27.427151
380,29340.0013935752,2.03928235468738,250.20528,3.8490946,337.3,27.157824
380,29350.0013940502,2.03997741803341,250.28407,3.8492129,337.3,27.13406
380,29360.0013945252,2.04067247394669,250.14615,3.8494098,337.3,27.332094
380,29370.0013950001,2.04136752788951,250.30377,3.8496461,337.3,27.387543
380,29380.0013954751,2.04206257658781,250.18555,3.8497643,337.3,27.213274
380,29390.0013959501,2.04275762414818,250.24467,3.849843,337.3,27.450912
380,29400.0013964251,2.04345267361337,250.28407,3.8500793,337.4,27.340015
380,29410.0013969,2.04414773122302,250.26437,3.8501976,337.4,27.276644
380,29420.001397375,2.0448427940543,250.24467,3.8503158,337.4,27.157824
380,29430.00139785,2.04553785359077,250.16585,3.8506701,337.4,27.308329
380,29440.001398325,2.04623290989844,250.26437,3.8508277,337.4,27.411308
380,29450.0013987999,2.04692796705989,250.18555,3.850867,337.4,27.18951
380,29460.0013992749,2.04762302320293,250.14615,3.8511429,337.5,27.252882
380,29470.0013997499,2.04831807987122,250.24467,3.8512216,337.5,27.054848
380,29480.0014002249,2.04901314017411,250.20528,3.8513398,337.5,27.244961
380,29490.0014006998,2.04970819612076,250.16585,3.8515368,337.5,27.268723
380,29500.0014011748,2.05040325050084,250.16585,3.8517337,337.5,27.18951
380,29510.0014016498,2.05109830229745,250.24467,3.8518517,337.5,27.355858
380,29520.0014021248,2.05179335298917,250.28407,3.8522062,337.5,27.221195
380,29530.0014025997,2.05248841322613,250.20528,3.8522851,337.5,27.347937
380,29540.0014030747,2.05318346659982,250.28407,3.8525214,337.5,27.23704
380,29550.0014035497,2.05387852314758,250.20528,3.8525608,337.5,27.379622
380,29560.0014040247,2.05457357635658,250.18555,3.852679,337.5,27.173668
380,29570.0014044996,2.055268630682,250.14615,3.8528364,337.5,27.165747
380,29580.0014049746,2.05596368711982,250.20528,3.8531516,337.6,27.466755
380,29590.0014054496,2.05665874369008,250.22498,3.8532302,337.6,27.205353
380,29600.0014059246,2.05735380204482,250.18555,3.8534272,337.6,27.157824
380,29610.0014063995,2.05804886252243,250.24467,3.8536241,337.6,27.3717
380,29620.0014068745,2.05874392753134,250.20528,3.853703,337.6,27.403387
380,29630.0014073495,2.05943898645459,250.18555,3.853821,337.6,27.363779
380,29640.0014078245,2.06013404773159,250.16585,3.8540969,337.6,27.308329
380,29650.0014082994,2.0608291096651,250.28407,3.8542149,337.7,27.18951
380,29660.0014087744,2.06152417312016,250.20528,3.8544118,337.7,27.363779
380,29670.0014092494,2.06221923457176,250.28407,3.8546088,337.7,27.538048
380,29680.0014097244,2.06291430113554,250.18555,3.854727,337.7,27.197432
380,29690.0014101993,2.06360936606766,250.20528,3.854924,337.7,27.347937
380,29700.0014106743,2.06430442748634,250.18555,3.8550816,337.7,27.252882
380,29710.0014111493,2.0649994899011,250.18555,3.8551602,337.7,27.308329
380,29720.0014116242,2.06569455370651,250.14615,3.8553572,337.7,27.260799
380,29730.0014120992,2.06638962316026,250.34317,3.855633,337.8,27.260799
380,29740.0014125742,2.06708468754602,250.22498,3.855751,337.8,27.197432
380,29750.0014130492,2.06777974915133,250.24467,3.8558693,337.8,27.205353
380,29760.0014135241,2.06847481320786,250.22498,3.8560269,337.8,27.292486
380,29770.0014139991,2.06916987852361,250.22498,3.8562632,337.8,27.276644
380,29780.0014144741,2.06986493966911,250.20528,3.8563418,337.8,27.332094
380,29790.0014149491,2.07056000407691,250.26437,3.8566177,337.8,27.355858
380,29800.001415424,2.07125506028547,250.20528,3.856657,337.8,27.23704
380,29810.001415899,2.07195011549807,250.20528,3.8568933,337.8,27.395466
380,29820.001416374,2.07264517143264,250.24467,3.856972,337.8,27.442993
380,29830.001416849,2.07334023033339,250.18555,3.8571689,337.8,27.538048
380,29840.001417324,2.07403528801904,250.20528,3.8572872,337.9,27.363779
380,29850.0014177989,2.07473034523408,250.22498,3.8574841,337.9,27.427151
380,29860.0014182739,2.07542540733173,250.24467,3.8576417,337.9,27.023163
380,29870.0014187489,2.0761204665171,250.18555,3.8576417,337.9,27.332094
380,29880.0014192238,2.07681552479434,250.22498,3.8579962,337.9,27.252882
380,29890.0014196988,2.07751058784509,250.20528,3.8581932,337.9,27.213274
380,29900.0014201738,2.07820564911101,250.16585,3.8583112,337.9,27.3717
380,29910.0014206488,2.0789007075084,250.12645,3.8584294,337.9,27.324171
380,29920.0014211237,2.07959576571992,250.18555,3.858587,337.9,27.300407
380,29930.0014215987,2.0802908286716,250.22498,3.858784,338,27.18951
380,29940.0014220737,2.08098589312252,250.16585,3.8589809,338,27.347937
380,29950.0014225487,2.08168095240729,250.16585,3.8591383,338,27.332094
380,29960.0014230236,2.0823760183471,250.28407,3.8592958,338,27.395466
380,29970.0014234986,2.08307107978793,250.20528,3.8593748,338,27.340015
380,29980.0014239736,2.08376613864587,250.26437,3.8594534,338,27.41923
380,29990.0014244486,2.08446119659459,250.22498,3.8597291,338,27.340015
380,30000.0014249235,2.0851562581454,250.16585,3.8598473,338.1,27.229118
380,30010.0014253985,2.08585131523003,250.22498,3.8601229,338.1,27.252882
380,30020.0014258735,2.0865463718541,250.22498,3.8601229,338.1,27.141981
