Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity
24.991,4.165606817,0,22.55922983,23.48421139,10.52592766,-0.856866948,507,32,100,0,21.875,0,1.133
25.091,4.16556695,0,22.54933579,23.48421139,10.54858454,-0.753261486,507,32,100,0,21.875,0,1.133
25.191,4.165646685,0,22.55922983,23.48421139,10.54534784,-0.836942821,507,32,100,0,21.875,0,1.133
25.291,4.165646685,0,22.55922983,23.48421139,10.54211114,-0.789124915,507,32,100,0,21.875,0,1.133
25.391,4.165606817,0,22.56912378,23.48421139,10.53563775,-0.793109741,507,32,100,0,21.875,0,1.133
25.491,4.165646685,0,22.53944166,23.46444579,10.55829463,-0.809049042,507,32,100,0,21.875,0,1.133
25.591,4.165606817,0,22.54933579,23.47432864,10.56153133,-0.884760726,507,32,100,0,21.875,0,1.133
25.691,4.165606817,0,22.57901764,23.47432864,10.57447812,-0.876791076,507,32,100,0,21.875,0,1.133
25.791,4.16556695,0,22.54933579,23.48421139,10.51945426,-0.884760726,507,32,100,0,21.875,0,1.133
25.891,4.165606817,0,22.55922983,23.46444579,10.56476803,-0.852882123,507,32,100,0,21.875,0,1.133
25.991,4.165606817,0,22.57901764,23.50397664,10.56153133,-0.960472411,506,32,100,0,21.875,0,1.133
26.091,4.165646685,0,22.54933579,23.48421139,10.53240105,-0.836942821,506,32,100,0,21.875,0,1.133
26.191,4.165606817,0,22.55922983,23.49409406,10.56153133,-0.801079391,506,32,100,0,21.875,0,1.133
26.291,4.165527082,0,22.56912378,23.45456286,10.54858454,-0.78514009,506,32,100,0,21.875,0,1.133
26.391,4.165606817,0,22.56912378,23.46444579,10.55505794,-0.840927646,506,32,100,0,21.875,0,1.133
26.491,4.16556695,0,22.56912378,23.45456286,10.55829463,-0.87280625,506,32,100,0,21.875,0,1.133
26.591,4.165646685,0,22.56912378,23.46444579,10.56800473,-0.773185613,506,32,100,0,21.875,0,1.133
26.691,4.16556695,0,22.56912378,23.46444579,10.54211114,-0.789124915,506,32,100,0,21.875,0,1.133
26.791,4.165606817,0,22.55922983,23.49409406,10.54534784,-0.805064217,506,32,100,0,21.875,0,1.133
